Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
1st,MBA,DevOps,Python Go Rust,2,Yes,Data Scientist,Interview anxiety,Mentorship programs,20,13,18,15,14,20,10,17,Strategic Thinking Analytical Skills,5,141,AI Engineer
4th,B.Tech IT,IoT Applications,Python Go Rust,2,Yes,Business Analyst,Interview anxiety,Online resources,12,8,19,11,8,18,18,14,Presentation Skills Public Speaking,2,116,Software Engineer
2nd,MCA,Deep Learning,PHP JavaScript MySQL,5,No,AI Engineer,Lack of resources,Peer groups,18,5,7,19,15,20,20,10,Communication Adaptability Problem-Solving,1,126,Cloud Architect
3rd,B.Tech CSE,Business Intelligence,C# .NET SQL,5,Yes,AI Engineer,Interview anxiety,Internships,18,13,7,19,11,19,20,11,Emotional Intelligence Active Listening,3,134,Data Scientist
4th,MBA,Blockchain Development,R SAS Python,1,Yes,Cloud Architect,Team collaboration,Internships,19,8,15,17,17,12,15,6,Decision-Making Flexibility Innovation,3,117,Software Engineer
1st,MCA,Full Stack Development,Python R SQL,1,Yes,Cloud Architect,Presentation skills,Online resources,19,14,19,19,10,12,10,13,Collaboration Empathy Teamwork,3,124,Cybersecurity Analyst
3rd,MCA,Business Intelligence,Python Go Rust,4,No,Software Engineer,Procrastination,Workshops,9,7,7,14,16,10,12,6,Time-Management Resilience Negotiation,3,95,Business Analyst
1st,B.Sc Computer Science,Network Security,Python R SQL,4,Yes,Business Analyst,Presentation skills,Internships,14,19,19,18,10,12,19,17,Leadership Creativity Critical-Thinking,4,144,AI Engineer
2nd,MBA,IoT Applications,Julia Python R,2,No,Cybersecurity Analyst,Team collaboration,Internships,8,16,11,11,18,14,20,13,Strategic Thinking Analytical Skills,3,121,Cybersecurity Analyst
3rd,MCA,Network Security,Python R SQL,3,No,Business Analyst,Presentation skills,Mentorship programs,12,11,20,20,19,9,15,6,Presentation Skills Public Speaking,5,128,Data Scientist
1st,B.Sc Computer Science,Data Engineering,Python Go Rust,2,Yes,AI Engineer,Interview anxiety,Workshops,10,6,7,14,16,11,16,15,Leadership Creativity Critical-Thinking,1,101,Business Analyst
3rd,MBA,Full Stack Development,JavaScript TypeScript Python,1,Yes,Cybersecurity Analyst,Procrastination,Peer groups,12,11,18,19,16,17,18,15,Presentation Skills Public Speaking,3,134,Data Scientist
1st,MCA,Embedded Systems,C# .NET SQL,5,Yes,Cybersecurity Analyst,Team collaboration,Workshops,13,8,9,13,14,19,20,19,Strategic Thinking Analytical Skills,5,135,AI Engineer
4th,M.Sc Data Science,Data Engineering,Python R SQL,4,Yes,Data Scientist,Time management,Online resources,17,19,19,13,20,16,14,7,Conflict Resolution Team Leadership,3,139,Cloud Architect
1st,MBA,Full Stack Development,MATLAB Python C,4,Yes,Data Scientist,Team collaboration,Internships,10,11,19,11,12,15,12,11,Communication Adaptability Problem-Solving,4,117,Software Engineer
4th,B.Sc Computer Science,Business Intelligence,R SAS Python,1,Yes,Cybersecurity Analyst,Interview anxiety,Internships,8,17,7,15,17,13,10,18,Conflict Resolution Team Leadership,1,109,Cybersecurity Analyst
2nd,B.Tech CSE,Data Engineering,Python Java C++,3,No,AI Engineer,Interview anxiety,Mentorship programs,16,20,12,14,16,12,16,8,Strategic Thinking Analytical Skills,1,122,Software Engineer
4th,B.Sc Computer Science,Penetration Testing,Scala Java Python,5,No,Business Analyst,Interview anxiety,Workshops,12,15,15,10,10,15,20,5,Decision-Making Flexibility Innovation,2,116,Cybersecurity Analyst
3rd,B.Sc Computer Science,Mobile App Development,Java Kotlin Swift,3,No,AI Engineer,Team collaboration,Internships,13,8,19,12,16,14,16,10,Time-Management Resilience Negotiation,3,120,Software Engineer
3rd,M.Sc Data Science,Data Engineering,Python R SQL,2,No,Cloud Architect,Team collaboration,Internships,11,12,14,14,18,12,11,15,Collaboration Empathy Teamwork,1,113,Software Engineer
1st,MCA,Business Intelligence,Java Kotlin Swift,4,Yes,Software Engineer,Team collaboration,Peer groups,15,14,19,15,14,13,16,11,Strategic Thinking Analytical Skills,1,127,AI Engineer
3rd,B.Tech IT,Computer Vision,Python Java C++,4,No,Data Scientist,Interview anxiety,Mentorship programs,8,9,14,11,9,18,14,7,Conflict Resolution Team Leadership,1,100,Business Analyst
3rd,MBA,Penetration Testing,C# .NET SQL,3,Yes,AI Engineer,Time management,Mentorship programs,12,7,10,14,11,12,19,14,Decision-Making Flexibility Innovation,4,113,Software Engineer
1st,B.Tech CSE,Deep Learning,Python Go Rust,4,No,Cloud Architect,Team collaboration,Peer groups,20,18,12,19,18,11,19,6,Strategic Thinking Analytical Skills,1,133,Cloud Architect
1st,MBA,Network Security,MATLAB Python C,1,Yes,Data Scientist,Presentation skills,Peer groups,17,5,12,12,15,16,18,6,Collaboration Empathy Teamwork,4,111,Software Engineer
2nd,M.Sc Data Science,Data Engineering,Java Kotlin Swift,3,No,Software Engineer,Team collaboration,Online resources,8,12,14,16,11,19,19,7,Emotional Intelligence Active Listening,5,122,Software Engineer
1st,B.Sc Computer Science,Blockchain Development,PHP JavaScript MySQL,5,No,Cybersecurity Analyst,Presentation skills,Internships,14,17,16,12,12,15,18,18,Strategic Thinking Analytical Skills,1,134,AI Engineer
4th,MCA,Network Security,MATLAB Python C,3,No,Software Engineer,Interview anxiety,Online resources,18,19,15,18,16,9,15,7,Decision-Making Flexibility Innovation,1,125,Software Engineer
1st,MBA,IoT Applications,MATLAB Python C,1,Yes,Business Analyst,Procrastination,Online resources,9,17,20,13,12,12,16,10,Presentation Skills Public Speaking,4,119,Cybersecurity Analyst
1st,MBA,Deep Learning,Scala Java Python,2,Yes,Business Analyst,Team collaboration,Mentorship programs,16,12,15,17,16,16,18,11,Communication Adaptability Problem-Solving,5,135,Cloud Architect
1st,M.Sc Data Science,Penetration Testing,C# .NET SQL,4,Yes,Software Engineer,Presentation skills,Internships,15,6,12,19,17,18,16,11,Communication Adaptability Problem-Solving,1,124,Software Engineer
2nd,B.Tech CSE,Full Stack Development,Python R SQL,3,Yes,Software Engineer,Team collaboration,Online resources,9,11,19,13,11,14,18,10,Collaboration Empathy Teamwork,1,113,Cybersecurity Analyst
1st,B.Sc Computer Science,IoT Applications,Java Kotlin Swift,2,No,Cloud Architect,Presentation skills,Internships,15,12,5,17,14,12,17,10,Communication Adaptability Problem-Solving,2,110,Cybersecurity Analyst
2nd,B.Sc Computer Science,Mobile App Development,Python R SQL,5,Yes,AI Engineer,Team collaboration,Mentorship programs,19,5,9,17,8,8,18,13,Strategic Thinking Analytical Skills,5,117,Software Engineer
1st,B.Tech CSE,Data Visualization,R SAS Python,5,Yes,Cybersecurity Analyst,Team collaboration,Internships,9,13,17,18,17,20,12,17,Strategic Thinking Analytical Skills,1,135,AI Engineer
1st,B.Tech IT,Data Visualization,Python R SQL,3,No,Business Analyst,Interview anxiety,Mentorship programs,15,13,10,11,11,17,14,18,Communication Adaptability Problem-Solving,3,121,Cybersecurity Analyst
2nd,B.Sc Computer Science,NLP,PHP JavaScript MySQL,3,No,Cloud Architect,Team collaboration,Mentorship programs,11,10,15,17,19,8,20,6,Time-Management Resilience Negotiation,5,122,Software Engineer
1st,B.Tech CSE,Network Security,Python Go Rust,3,No,Business Analyst,Interview anxiety,Workshops,20,11,7,10,16,9,11,13,Decision-Making Flexibility Innovation,3,109,Cybersecurity Analyst
2nd,B.Sc Computer Science,Full Stack Development,Python Java C++,3,Yes,Cloud Architect,Lack of resources,Online resources,12,10,17,13,15,19,11,16,Emotional Intelligence Active Listening,1,121,Cybersecurity Analyst
1st,B.Tech IT,Network Security,MATLAB Python C,5,Yes,AI Engineer,Time management,Internships,14,8,19,13,18,11,20,11,Leadership Creativity Critical-Thinking,1,126,Cloud Architect
3rd,B.Tech CSE,Cloud Infrastructure,Python Java C++,2,Yes,Business Analyst,Interview anxiety,Peer groups,13,14,7,12,14,9,16,15,Communication Adaptability Problem-Solving,1,106,Cybersecurity Analyst
1st,B.Sc Computer Science,IoT Applications,MATLAB Python C,5,Yes,Cybersecurity Analyst,Team collaboration,Workshops,17,7,20,13,15,18,16,9,Presentation Skills Public Speaking,1,127,AI Engineer
3rd,B.Sc Computer Science,NLP,Julia Python R,2,No,Cloud Architect,Team collaboration,Internships,8,6,15,20,10,14,15,11,Emotional Intelligence Active Listening,2,107,Software Engineer
4th,MCA,Penetration Testing,Python Java C++,4,No,Cybersecurity Analyst,Time management,Workshops,16,13,16,19,15,11,13,19,Decision-Making Flexibility Innovation,2,134,Cloud Architect
2nd,MBA,Penetration Testing,Scala Java Python,3,Yes,Cloud Architect,Lack of resources,Peer groups,8,16,16,15,10,19,17,6,Time-Management Resilience Negotiation,4,121,Cybersecurity Analyst
4th,MCA,Network Security,MATLAB Python C,3,Yes,Cybersecurity Analyst,Procrastination,Peer groups,14,6,6,11,8,12,18,10,Presentation Skills Public Speaking,1,93,Business Analyst
3rd,MCA,Penetration Testing,JavaScript TypeScript Python,5,Yes,Software Engineer,Lack of resources,Internships,16,6,16,13,18,15,19,11,Emotional Intelligence Active Listening,4,132,AI Engineer
3rd,B.Tech CSE,Business Intelligence,Python R SQL,4,No,Cloud Architect,Team collaboration,Online resources,16,16,9,11,10,13,17,15,Communication Adaptability Problem-Solving,3,121,Cybersecurity Analyst
2nd,M.Sc Data Science,Cloud Security,Java Kotlin Swift,3,Yes,Data Scientist,Team collaboration,Mentorship programs,13,18,20,15,15,17,20,16,Decision-Making Flexibility Innovation,2,144,AI Engineer
3rd,MBA,DevOps,PHP JavaScript MySQL,1,Yes,Business Analyst,Lack of resources,Internships,20,15,5,10,20,15,16,16,Presentation Skills Public Speaking,1,121,Software Engineer
2nd,MBA,Full Stack Development,JavaScript TypeScript Python,4,No,Cybersecurity Analyst,Lack of resources,Peer groups,8,16,6,18,20,10,14,5,Decision-Making Flexibility Innovation,3,111,Software Engineer
2nd,MCA,NLP,Python Go Rust,3,Yes,Software Engineer,Interview anxiety,Workshops,16,20,7,10,15,16,13,17,Decision-Making Flexibility Innovation,4,128,Cloud Architect
3rd,B.Tech CSE,Cloud Infrastructure,Python Java C++,1,No,Business Analyst,Lack of resources,Online resources,13,10,12,16,15,13,18,6,Presentation Skills Public Speaking,2,109,Cybersecurity Analyst
4th,B.Tech CSE,DevOps,PHP JavaScript MySQL,3,Yes,Software Engineer,Team collaboration,Peer groups,9,19,8,13,19,11,15,9,Strategic Thinking Analytical Skills,4,117,Cybersecurity Analyst
1st,MCA,IoT Applications,Scala Java Python,4,No,AI Engineer,Team collaboration,Peer groups,8,16,9,19,17,11,10,9,Communication Adaptability Problem-Solving,1,109,Software Engineer
1st,B.Sc Computer Science,Data Visualization,Scala Java Python,3,No,Cloud Architect,Presentation skills,Internships,18,9,10,11,14,10,16,10,Strategic Thinking Analytical Skills,1,106,Cybersecurity Analyst
4th,B.Sc Computer Science,Blockchain Development,JavaScript TypeScript Python,1,Yes,Software Engineer,Interview anxiety,Online resources,11,15,5,19,15,10,16,8,Emotional Intelligence Active Listening,5,111,Cybersecurity Analyst
4th,B.Sc Computer Science,IoT Applications,R SAS Python,5,Yes,Data Scientist,Interview anxiety,Mentorship programs,11,20,5,13,9,20,16,16,Time-Management Resilience Negotiation,1,122,Software Engineer
2nd,B.Tech CSE,Cloud Infrastructure,MATLAB Python C,2,No,Business Analyst,Presentation skills,Peer groups,11,6,16,10,12,19,19,12,Time-Management Resilience Negotiation,4,117,Software Engineer
2nd,B.Sc Computer Science,Data Engineering,R SAS Python,2,No,Business Analyst,Presentation skills,Mentorship programs,15,11,16,16,12,13,12,17,Time-Management Resilience Negotiation,2,120,Software Engineer
1st,MCA,Deep Learning,R SAS Python,4,Yes,Cloud Architect,Procrastination,Online resources,8,16,17,11,12,11,20,9,Conflict Resolution Team Leadership,2,116,Cybersecurity Analyst
2nd,B.Tech IT,Deep Learning,Java Kotlin Swift,2,No,Cybersecurity Analyst,Procrastination,Workshops,20,16,19,17,9,11,10,12,Strategic Thinking Analytical Skills,5,128,Data Scientist
1st,M.Sc Data Science,AI Fundamentals,R SAS Python,3,No,Cloud Architect,Interview anxiety,Online resources,12,8,15,19,15,19,16,16,Presentation Skills Public Speaking,1,128,Data Scientist
3rd,M.Sc Data Science,Mobile App Development,JavaScript TypeScript Python,4,No,Data Scientist,Time management,Workshops,10,5,15,18,12,19,19,16,Collaboration Empathy Teamwork,4,130,Cloud Architect
2nd,B.Tech IT,IoT Applications,PHP JavaScript MySQL,5,No,AI Engineer,Procrastination,Peer groups,15,9,6,18,14,19,10,10,Decision-Making Flexibility Innovation,3,117,Software Engineer
4th,M.Sc Data Science,Cloud Security,Python Java C++,5,Yes,Business Analyst,Time management,Mentorship programs,9,18,15,20,17,15,15,7,Leadership Creativity Critical-Thinking,1,128,AI Engineer
4th,B.Sc Computer Science,NLP,Python R SQL,4,Yes,Cybersecurity Analyst,Presentation skills,Workshops,10,17,20,14,20,18,14,6,Collaboration Empathy Teamwork,2,131,Data Scientist
4th,B.Tech CSE,Data Visualization,Python Go Rust,5,No,Business Analyst,Time management,Internships,19,12,14,10,16,20,10,7,Collaboration Empathy Teamwork,1,120,Cybersecurity Analyst
4th,B.Sc Computer Science,Full Stack Development,Julia Python R,5,Yes,Cybersecurity Analyst,Procrastination,Online resources,14,17,16,14,17,15,20,5,Communication Adaptability Problem-Solving,5,138,Cloud Architect
2nd,B.Tech IT,Embedded Systems,Java Kotlin Swift,1,Yes,Cloud Architect,Team collaboration,Mentorship programs,20,9,11,10,9,17,17,19,Communication Adaptability Problem-Solving,4,122,Software Engineer
1st,B.Tech IT,Deep Learning,PHP JavaScript MySQL,3,Yes,Cloud Architect,Presentation skills,Internships,8,12,15,14,13,15,11,8,Emotional Intelligence Active Listening,4,110,Software Engineer
2nd,B.Tech CSE,Penetration Testing,Python R SQL,2,No,Cloud Architect,Team collaboration,Peer groups,10,9,8,13,17,18,15,18,Emotional Intelligence Active Listening,3,118,Cybersecurity Analyst
4th,MBA,Cloud Security,Python Go Rust,5,No,Data Scientist,Lack of resources,Mentorship programs,8,7,12,10,13,16,20,18,Communication Adaptability Problem-Solving,3,120,Cybersecurity Analyst
4th,B.Sc Computer Science,Mobile App Development,JavaScript TypeScript Python,2,Yes,Cybersecurity Analyst,Time management,Peer groups,8,15,11,20,19,17,19,6,Emotional Intelligence Active Listening,4,127,AI Engineer
3rd,MCA,Business Intelligence,Scala Java Python,2,Yes,Software Engineer,Team collaboration,Peer groups,17,20,15,17,17,15,20,18,Time-Management Resilience Negotiation,3,149,Cloud Architect
1st,MBA,Penetration Testing,JavaScript TypeScript Python,3,Yes,Cybersecurity Analyst,Lack of resources,Workshops,16,18,20,17,12,16,14,15,Conflict Resolution Team Leadership,3,140,Cloud Architect
3rd,B.Tech IT,DevOps,Java Kotlin Swift,1,Yes,Data Scientist,Procrastination,Online resources,19,15,17,14,16,14,14,7,Presentation Skills Public Speaking,4,126,Cloud Architect
4th,B.Tech CSE,Penetration Testing,Python Go Rust,5,Yes,Cybersecurity Analyst,Interview anxiety,Internships,9,18,20,10,12,17,16,13,Communication Adaptability Problem-Solving,2,129,Cloud Architect
2nd,B.Sc Computer Science,Computer Vision,PHP JavaScript MySQL,4,Yes,AI Engineer,Time management,Internships,12,19,6,11,9,16,16,19,Decision-Making Flexibility Innovation,4,124,Cybersecurity Analyst
4th,B.Tech CSE,Blockchain Development,MATLAB Python C,4,Yes,AI Engineer,Time management,Workshops,14,11,13,11,17,10,11,18,Presentation Skills Public Speaking,1,115,Software Engineer
3rd,B.Tech CSE,Penetration Testing,Python Go Rust,3,No,Business Analyst,Interview anxiety,Mentorship programs,12,19,12,13,17,20,13,9,Communication Adaptability Problem-Solving,2,125,Software Engineer
4th,MBA,NLP,JavaScript TypeScript Python,2,Yes,Data Scientist,Team collaboration,Peer groups,8,14,12,18,9,8,19,15,Presentation Skills Public Speaking,4,115,Software Engineer
3rd,B.Sc Computer Science,Data Engineering,Java Kotlin Swift,5,Yes,Cybersecurity Analyst,Team collaboration,Online resources,15,17,9,15,20,16,16,12,Conflict Resolution Team Leadership,2,134,Data Scientist
4th,M.Sc Data Science,NLP,Python Go Rust,5,No,Software Engineer,Team collaboration,Mentorship programs,11,7,12,19,15,13,19,9,Leadership Creativity Critical-Thinking,3,121,Software Engineer
2nd,B.Sc Computer Science,AI Fundamentals,Java Kotlin Swift,5,No,AI Engineer,Team collaboration,Online resources,9,9,11,15,15,20,20,18,Emotional Intelligence Active Listening,4,135,Data Scientist
4th,B.Tech CSE,Blockchain Development,Scala Java Python,4,No,Data Scientist,Time management,Online resources,14,15,19,20,18,18,15,5,Time-Management Resilience Negotiation,4,140,Data Scientist
3rd,MCA,Penetration Testing,C# .NET SQL,5,No,Data Scientist,Interview anxiety,Online resources,15,19,6,18,15,20,16,17,Emotional Intelligence Active Listening,4,144,Cloud Architect
2nd,B.Tech CSE,AI Fundamentals,R SAS Python,1,No,AI Engineer,Time management,Online resources,17,13,13,15,11,20,13,19,Leadership Creativity Critical-Thinking,2,127,Data Scientist
4th,B.Tech CSE,Business Intelligence,JavaScript TypeScript Python,3,No,Business Analyst,Team collaboration,Workshops,20,5,6,18,12,13,18,8,Presentation Skills Public Speaking,3,112,Cybersecurity Analyst
1st,B.Sc Computer Science,Full Stack Development,C# .NET SQL,2,Yes,Business Analyst,Time management,Peer groups,12,6,7,19,12,16,12,19,Conflict Resolution Team Leadership,4,115,Cybersecurity Analyst
2nd,B.Tech CSE,Mobile App Development,R SAS Python,3,No,Data Scientist,Interview anxiety,Online resources,15,8,11,18,14,8,19,11,Emotional Intelligence Active Listening,4,118,Software Engineer
1st,MCA,Cloud Security,C# .NET SQL,2,Yes,Data Scientist,Lack of resources,Internships,9,5,9,17,11,8,18,19,Decision-Making Flexibility Innovation,4,108,Software Engineer
4th,M.Sc Data Science,Blockchain Development,Julia Python R,4,Yes,Data Scientist,Team collaboration,Workshops,15,17,16,19,19,15,11,15,Strategic Thinking Analytical Skills,2,139,Data Scientist
3rd,MBA,Penetration Testing,MATLAB Python C,1,Yes,Business Analyst,Lack of resources,Workshops,13,18,11,15,8,11,20,17,Strategic Thinking Analytical Skills,1,117,Software Engineer
4th,MCA,Network Security,Python Go Rust,3,Yes,Cloud Architect,Presentation skills,Online resources,20,13,13,17,18,17,12,12,Conflict Resolution Team Leadership,1,130,AI Engineer
4th,B.Tech IT,DevOps,Python Go Rust,2,Yes,Software Engineer,Presentation skills,Mentorship programs,8,5,14,12,19,15,20,13,Time-Management Resilience Negotiation,3,116,Software Engineer
4th,MBA,Cloud Infrastructure,R SAS Python,2,Yes,Cloud Architect,Time management,Online resources,12,19,17,10,16,10,14,5,Strategic Thinking Analytical Skills,5,117,Cybersecurity Analyst
3rd,MCA,Blockchain Development,Python R SQL,3,Yes,AI Engineer,Time management,Online resources,16,7,14,15,16,18,12,7,Time-Management Resilience Negotiation,2,115,Cybersecurity Analyst
1st,M.Sc Data Science,Embedded Systems,R SAS Python,2,Yes,Data Scientist,Interview anxiety,Online resources,8,18,14,17,16,17,16,15,Leadership Creativity Critical-Thinking,2,129,Cloud Architect
1st,MCA,DevOps,JavaScript TypeScript Python,1,Yes,AI Engineer,Interview anxiety,Peer groups,15,10,11,19,8,11,16,14,Presentation Skills Public Speaking,5,116,Software Engineer
4th,B.Sc Computer Science,NLP,R SAS Python,5,No,Data Scientist,Procrastination,Internships,16,9,15,10,13,12,20,10,Communication Adaptability Problem-Solving,1,117,Cybersecurity Analyst
1st,B.Tech CSE,Data Visualization,PHP JavaScript MySQL,2,Yes,Software Engineer,Procrastination,Peer groups,17,12,6,14,16,9,17,18,Presentation Skills Public Speaking,2,117,Software Engineer
1st,B.Tech CSE,Cloud Security,Python R SQL,3,No,AI Engineer,Team collaboration,Online resources,10,13,18,11,9,8,17,19,Communication Adaptability Problem-Solving,5,121,Cybersecurity Analyst
3rd,MBA,Deep Learning,JavaScript TypeScript Python,3,No,AI Engineer,Time management,Internships,16,10,18,17,12,8,12,8,Time-Management Resilience Negotiation,1,109,Software Engineer
3rd,MBA,IoT Applications,Python R SQL,3,Yes,AI Engineer,Procrastination,Peer groups,14,15,8,10,17,11,17,16,Leadership Creativity Critical-Thinking,1,116,Cybersecurity Analyst
4th,MCA,AI Fundamentals,PHP JavaScript MySQL,5,Yes,AI Engineer,Lack of resources,Mentorship programs,14,17,19,18,9,8,14,15,Decision-Making Flexibility Innovation,1,126,Data Scientist
3rd,B.Tech CSE,Deep Learning,MATLAB Python C,5,No,Data Scientist,Time management,Mentorship programs,20,5,20,13,10,17,20,16,Leadership Creativity Critical-Thinking,3,137,Cloud Architect
3rd,M.Sc Data Science,Penetration Testing,Java Kotlin Swift,2,No,Cybersecurity Analyst,Team collaboration,Mentorship programs,16,11,14,16,18,13,15,6,Conflict Resolution Team Leadership,2,117,Software Engineer
2nd,M.Sc Data Science,Computer Vision,Scala Java Python,1,Yes,Business Analyst,Presentation skills,Internships,9,7,19,12,9,15,17,7,Leadership Creativity Critical-Thinking,2,101,Business Analyst
2nd,MBA,Embedded Systems,C# .NET SQL,2,Yes,Data Scientist,Lack of resources,Mentorship programs,15,17,10,12,10,15,11,16,Emotional Intelligence Active Listening,1,112,Cybersecurity Analyst
4th,B.Tech IT,Full Stack Development,R SAS Python,5,Yes,Cloud Architect,Lack of resources,Peer groups,16,12,9,13,20,13,20,15,Emotional Intelligence Active Listening,2,132,Cloud Architect
2nd,MBA,Data Engineering,JavaScript TypeScript Python,5,No,Cloud Architect,Presentation skills,Mentorship programs,16,17,20,13,19,19,18,9,Leadership Creativity Critical-Thinking,5,151,Data Scientist
4th,B.Tech CSE,Business Intelligence,Python R SQL,3,Yes,Cloud Architect,Interview anxiety,Peer groups,11,16,13,20,11,10,18,5,Leadership Creativity Critical-Thinking,3,116,Software Engineer
4th,M.Sc Data Science,Full Stack Development,JavaScript TypeScript Python,2,No,Data Scientist,Lack of resources,Online resources,9,14,9,13,15,20,20,14,Presentation Skills Public Speaking,2,122,Software Engineer
2nd,B.Tech IT,Data Engineering,C# .NET SQL,4,Yes,Data Scientist,Interview anxiety,Peer groups,12,8,20,14,16,20,18,12,Decision-Making Flexibility Innovation,5,138,AI Engineer
1st,MBA,Business Intelligence,Python Go Rust,3,Yes,Cybersecurity Analyst,Procrastination,Mentorship programs,8,5,9,11,12,14,19,10,Collaboration Empathy Teamwork,2,98,Business Analyst
3rd,M.Sc Data Science,Deep Learning,R SAS Python,2,Yes,Data Scientist,Time management,Mentorship programs,10,16,15,16,12,18,18,17,Strategic Thinking Analytical Skills,5,136,Data Scientist
4th,B.Tech CSE,NLP,R SAS Python,5,Yes,Software Engineer,Interview anxiety,Internships,19,17,6,16,11,8,20,17,Conflict Resolution Team Leadership,1,126,Cloud Architect
4th,M.Sc Data Science,Data Engineering,Scala Java Python,1,Yes,Data Scientist,Presentation skills,Workshops,13,9,9,17,8,17,15,11,Conflict Resolution Team Leadership,1,103,Business Analyst
3rd,B.Tech CSE,NLP,JavaScript TypeScript Python,5,Yes,AI Engineer,Interview anxiety,Peer groups,10,15,7,18,13,13,17,12,Collaboration Empathy Teamwork,1,117,Cybersecurity Analyst
4th,B.Tech CSE,Cloud Security,JavaScript TypeScript Python,1,No,Cybersecurity Analyst,Interview anxiety,Peer groups,19,6,18,13,13,20,18,19,Time-Management Resilience Negotiation,3,134,Cloud Architect
4th,B.Tech CSE,Mobile App Development,Python Go Rust,2,No,AI Engineer,Procrastination,Peer groups,9,8,20,10,12,8,12,12,Communication Adaptability Problem-Solving,2,99,Business Analyst
4th,MCA,Data Visualization,C# .NET SQL,3,Yes,Software Engineer,Team collaboration,Internships,19,12,18,11,8,17,20,8,Presentation Skills Public Speaking,5,129,Cloud Architect
4th,M.Sc Data Science,Computer Vision,Python Java C++,5,No,Software Engineer,Presentation skills,Internships,11,9,18,14,14,15,12,20,Strategic Thinking Analytical Skills,3,129,AI Engineer
4th,M.Sc Data Science,NLP,Python Java C++,1,No,Cybersecurity Analyst,Time management,Online resources,8,11,17,19,9,11,16,10,Time-Management Resilience Negotiation,5,113,Software Engineer
4th,B.Tech CSE,Deep Learning,Scala Java Python,3,Yes,Software Engineer,Interview anxiety,Mentorship programs,15,7,18,16,9,18,10,5,Strategic Thinking Analytical Skills,3,110,Software Engineer
2nd,B.Tech IT,Blockchain Development,Python Java C++,4,Yes,Software Engineer,Interview anxiety,Internships,15,18,15,10,17,13,17,20,Presentation Skills Public Speaking,2,137,AI Engineer
3rd,B.Sc Computer Science,Business Intelligence,Java Kotlin Swift,1,No,Cybersecurity Analyst,Presentation skills,Mentorship programs,11,7,18,19,17,8,14,15,Decision-Making Flexibility Innovation,4,119,Software Engineer
3rd,B.Tech IT,NLP,R SAS Python,3,Yes,Business Analyst,Lack of resources,Online resources,19,6,12,15,15,14,20,14,Decision-Making Flexibility Innovation,4,129,Cloud Architect
4th,MBA,IoT Applications,JavaScript TypeScript Python,4,No,Cloud Architect,Interview anxiety,Online resources,13,13,20,19,13,14,20,11,Conflict Resolution Team Leadership,3,137,AI Engineer
3rd,B.Tech IT,Deep Learning,Python Java C++,5,Yes,AI Engineer,Lack of resources,Workshops,13,8,17,19,16,8,15,14,Time-Management Resilience Negotiation,2,124,Software Engineer
2nd,M.Sc Data Science,Data Engineering,JavaScript TypeScript Python,5,No,Cloud Architect,Team collaboration,Peer groups,13,15,14,13,10,18,13,12,Strategic Thinking Analytical Skills,3,124,Software Engineer
2nd,B.Tech CSE,DevOps,MATLAB Python C,4,No,Cybersecurity Analyst,Procrastination,Mentorship programs,11,18,14,15,9,16,13,15,Decision-Making Flexibility Innovation,2,123,Software Engineer
4th,B.Tech CSE,Network Security,R SAS Python,5,No,AI Engineer,Procrastination,Internships,12,13,19,19,14,15,19,12,Time-Management Resilience Negotiation,1,135,Data Scientist
1st,MBA,Penetration Testing,R SAS Python,3,Yes,Data Scientist,Presentation skills,Workshops,14,10,15,13,10,20,13,8,Decision-Making Flexibility Innovation,1,111,Software Engineer
4th,B.Tech CSE,AI Fundamentals,Julia Python R,3,No,AI Engineer,Time management,Online resources,11,12,13,19,13,17,12,9,Strategic Thinking Analytical Skills,1,114,Cybersecurity Analyst
2nd,B.Sc Computer Science,Mobile App Development,C# .NET SQL,1,Yes,Software Engineer,Presentation skills,Online resources,11,9,13,20,20,12,20,13,Time-Management Resilience Negotiation,2,124,Software Engineer
3rd,MBA,Embedded Systems,Scala Java Python,1,No,Cloud Architect,Interview anxiety,Internships,9,13,19,12,19,10,11,6,Decision-Making Flexibility Innovation,3,107,Cybersecurity Analyst
1st,MBA,NLP,JavaScript TypeScript Python,1,Yes,Business Analyst,Team collaboration,Internships,13,9,9,17,10,15,18,19,Presentation Skills Public Speaking,4,120,Software Engineer
1st,MCA,Computer Vision,Java Kotlin Swift,3,No,Cloud Architect,Presentation skills,Workshops,15,15,15,11,16,19,12,9,Conflict Resolution Team Leadership,1,120,Cybersecurity Analyst
3rd,B.Tech CSE,NLP,Python Java C++,3,No,Cybersecurity Analyst,Presentation skills,Workshops,15,19,16,10,20,9,15,5,Strategic Thinking Analytical Skills,5,125,Cybersecurity Analyst
3rd,B.Sc Computer Science,Network Security,Java Kotlin Swift,2,No,Software Engineer,Procrastination,Peer groups,12,12,7,10,18,11,12,20,Decision-Making Flexibility Innovation,3,112,Software Engineer
4th,M.Sc Data Science,DevOps,Python R SQL,3,Yes,Business Analyst,Procrastination,Mentorship programs,8,6,12,11,11,13,11,19,Emotional Intelligence Active Listening,1,99,Business Analyst
